team_id,name,short_name,att,def,games,att_home,def_home,att_away,def_away,xg_for,xg_against,goals_for,goals_against,finishing,leak,league_avg_xg,prior_games
1,Arsenal,ARS,1.056,0.78,4,1.077,0.799,0.993,0.927,6.87,2.72,8,1,1.13,-1.72,1.508,6
2,Aston Villa,AVL,0.825,1.108,4,0.846,1.025,0.935,1.11,3.39,7.66,1,7,-2.39,-0.66,1.508,6
3,Bournemouth,BOU,0.997,0.951,4,1.079,0.944,0.917,0.995,5.99,5.3,6,7,0.01,1.7,1.508,6
4,Brentford,BRE,1.085,0.964,4,1.174,0.939,0.932,1.016,7.31,5.49,7,4,-0.31,-1.49,1.508,6
5,Brighton,BHA,1.278,1.067,4,1.245,0.98,1.103,1.103,10.23,7.04,13,5,2.77,-2.04,1.508,6
6,Chelsea,CHE,1.036,1.009,4,1.077,0.981,0.967,1.03,6.57,6.17,10,9,3.43,2.83,1.508,6
7,Coventry City,COV,0.882,1.099,4,0.971,1.043,0.881,1.082,4.25,7.53,0,10,-4.25,2.47,1.508,6
8,Crystal Palace,CRY,0.947,1.14,4,0.857,1.072,1.077,1.103,5.24,8.15,6,11,0.76,2.85,1.508,6
9,Everton,EVE,0.94,0.965,4,0.927,0.97,0.998,0.986,5.13,5.5,5,3,-0.13,-2.5,1.508,6
10,Fulham,FUL,1.009,1.098,4,1.126,1.099,0.885,1.024,6.17,7.51,4,7,-2.17,-0.51,1.508,6
11,Hull City,HUL,0.849,0.995,4,0.887,1.062,0.925,0.932,3.76,5.96,5,2,1.24,-3.96,1.508,6
12,Ipswich Town,IPS,1.018,1.047,4,0.961,0.862,1.062,1.197,6.31,6.74,7,10,0.69,3.26,1.508,6
13,Leeds,LEE,1.039,0.958,4,1.043,0.961,1.006,0.986,6.62,5.4,7,3,0.38,-2.4,1.508,6
14,Liverpool,LIV,1.046,0.953,4,1.001,0.999,1.057,0.943,6.73,5.33,6,4,-0.73,-1.33,1.508,6
15,Man City,MCI,1.109,0.844,4,1.111,0.917,1.025,0.888,7.68,3.68,8,2,0.32,-1.68,1.508,6
16,Man Utd,MUN,1.175,0.944,4,1.261,1.012,0.958,0.917,8.67,5.18,7,7,-1.67,1.82,1.508,6
17,Newcastle,NEW,0.857,1.101,4,0.939,1.111,0.882,1.015,3.87,7.55,7,8,3.13,0.45,1.508,6
18,Nott'm Forest,NFO,1.01,0.872,4,0.881,0.877,1.131,0.963,6.18,4.1,4,4,-2.18,-0.1,1.508,6
19,Spurs,TOT,0.829,1.039,4,0.901,0.902,0.886,1.147,3.46,6.62,0,5,-3.46,-1.62,1.508,6
20,Sunderland,SUN,1.012,0.987,4,1.067,0.985,0.947,1.0,6.21,5.84,3,5,-3.21,-0.84,1.508,6
