team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
2,Aston Villa,AVL,5,2.4,2,3,Nott'm Forest (A) | Sunderland (H) | Fulham (A) | Spurs (H) | Burnley (A)
6,Brighton,BHA,5,2.4,2,3,Burnley (A) | Spurs (A) | Chelsea (H) | Newcastle (A) | Wolves (H)
11,Leeds,LEE,5,2.6,2,4,Man Utd (A) | Wolves (H) | Bournemouth (A) | Burnley (H) | Spurs (A)
17,Sunderland,SUN,5,2.6,2,4,Spurs (H) | Aston Villa (A) | Nott'm Forest (H) | Wolves (A) | Man Utd (H)
20,Wolves,WOL,5,2.6,2,4,West Ham (A) | Leeds (A) | Spurs (H) | Sunderland (H) | Brighton (A)
14,Man Utd,MUN,5,2.8,2,3,Leeds (H) | Chelsea (A) | Brentford (H) | Liverpool (H) | Sunderland (A)
16,Nott'm Forest,NFO,5,2.8,2,3,Aston Villa (H) | Burnley (H) | Sunderland (A) | Chelsea (A) | Newcastle (H)
18,Spurs,TOT,5,2.8,2,4,Sunderland (A) | Brighton (H) | Wolves (A) | Aston Villa (A) | Leeds (H)
8,Crystal Palace,CRY,5,3.0,2,4,Newcastle (H) | West Ham (H) | Liverpool (A) | Bournemouth (A) | Everton (H)
9,Everton,EVE,5,3.0,2,4,Brentford (A) | Liverpool (H) | West Ham (A) | Man City (H) | Crystal Palace (A)
13,Man City,MCI,5,3.0,2,4,Chelsea (A) | Arsenal (H) | Burnley (A) | Everton (A) | Brentford (H)
19,West Ham,WHU,5,3.0,2,4,Wolves (H) | Crystal Palace (A) | Everton (H) | Brentford (A) | Arsenal (H)
1,Arsenal,ARS,5,3.2,2,5,Bournemouth (H) | Man City (A) | Newcastle (H) | Fulham (H) | West Ham (A)
4,Bournemouth,BOU,5,3.2,2,5,Arsenal (A) | Newcastle (A) | Leeds (H) | Crystal Palace (H) | Fulham (A)
3,Burnley,BUR,5,3.2,3,4,Brighton (H) | Nott'm Forest (A) | Man City (H) | Leeds (A) | Aston Villa (H)
12,Liverpool,LIV,5,3.2,3,4,Fulham (H) | Everton (A) | Crystal Palace (H) | Man Utd (A) | Chelsea (H)
5,Brentford,BRE,5,3.4,2,5,Everton (H) | Fulham (H) | Man Utd (A) | West Ham (H) | Man City (A)
7,Chelsea,CHE,5,3.4,2,4,Man City (H) | Man Utd (H) | Brighton (A) | Nott'm Forest (H) | Liverpool (A)
15,Newcastle,NEW,5,3.4,3,5,Crystal Palace (A) | Bournemouth (H) | Arsenal (A) | Brighton (H) | Nott'm Forest (A)
10,Fulham,FUL,5,3.6,3,5,Liverpool (A) | Brentford (A) | Aston Villa (H) | Arsenal (A) | Bournemouth (H)
