team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
11,Leeds,LEE,5,2.2,1,3,Bournemouth (A) | Burnley (H) | Spurs (A) | Brighton (H) | West Ham (A)
1,Arsenal,ARS,5,2.4,1,3,Newcastle (H) | Fulham (H) | West Ham (A) | Burnley (H) | Crystal Palace (A)
6,Brighton,BHA,5,2.6,1,3,Chelsea (H) | Newcastle (A) | Wolves (H) | Leeds (A) | Man Utd (H)
9,Everton,EVE,5,2.6,2,4,West Ham (A) | Man City (H) | Crystal Palace (A) | Sunderland (H) | Spurs (A)
17,Sunderland,SUN,5,2.6,2,3,Nott'm Forest (H) | Wolves (A) | Man Utd (H) | Everton (A) | Chelsea (H)
20,Wolves,WOL,5,2.6,2,4,Spurs (H) | Sunderland (H) | Brighton (A) | Fulham (H) | Burnley (A)
13,Man City,MCI,5,2.8,2,3,Burnley (A) | Everton (A) | Brentford (H) | Bournemouth (A) | Aston Villa (H)
18,Spurs,TOT,5,2.8,2,4,Wolves (A) | Aston Villa (A) | Leeds (H) | Chelsea (A) | Everton (H)
2,Aston Villa,AVL,5,3.0,2,5,Fulham (A) | Spurs (H) | Burnley (A) | Liverpool (H) | Man City (A)
4,Bournemouth,BOU,5,3.0,2,4,Leeds (H) | Crystal Palace (H) | Fulham (A) | Man City (H) | Nott'm Forest (A)
7,Chelsea,CHE,5,3.0,2,4,Brighton (A) | Nott'm Forest (H) | Liverpool (A) | Spurs (H) | Sunderland (A)
8,Crystal Palace,CRY,5,3.0,2,4,West Ham (H) | Liverpool (A) | Bournemouth (A) | Everton (H) | Brentford (A)
14,Man Utd,MUN,5,3.0,2,4,Brentford (H) | Liverpool (H) | Sunderland (A) | Nott'm Forest (H) | Brighton (A)
3,Burnley,BUR,5,3.2,1,5,Man City (H) | Leeds (A) | Aston Villa (H) | Arsenal (A) | Wolves (H)
10,Fulham,FUL,5,3.2,2,5,Aston Villa (H) | Arsenal (A) | Bournemouth (H) | Wolves (A) | Newcastle (H)
15,Newcastle,NEW,5,3.2,2,5,Arsenal (A) | Brighton (H) | Nott'm Forest (A) | West Ham (H) | Fulham (A)
16,Nott'm Forest,NFO,5,3.2,3,4,Sunderland (A) | Chelsea (A) | Newcastle (H) | Man Utd (A) | Bournemouth (H)
19,West Ham,WHU,5,3.2,3,4,Crystal Palace (A) | Everton (H) | Brentford (A) | Arsenal (H) | Newcastle (A)
12,Liverpool,LIV,5,3.4,3,4,Crystal Palace (H) | Man Utd (A) | Chelsea (H) | Aston Villa (A) | Brentford (H)
5,Brentford,BRE,5,3.6,2,5,Man Utd (A) | West Ham (H) | Man City (A) | Crystal Palace (H) | Liverpool (A)
