team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
1,Arsenal,ARS,3,2.333,1,3,West Ham (A) | Burnley (H) | Crystal Palace (A)
6,Brighton,BHA,3,2.333,1,3,Wolves (H) | Leeds (A) | Man Utd (H)
10,Fulham,FUL,3,2.667,2,3,Bournemouth (H) | Wolves (A) | Newcastle (H)
15,Newcastle,NEW,3,2.667,2,3,Nott'm Forest (A) | West Ham (H) | Fulham (A)
18,Spurs,TOT,3,2.667,2,3,Leeds (H) | Chelsea (A) | Everton (H)
3,Burnley,BUR,3,3.0,1,5,Aston Villa (H) | Arsenal (A) | Wolves (H)
9,Everton,EVE,4,3.0,2,4,Man City (H) | Crystal Palace (A) | Sunderland (H) | Spurs (A)
11,Leeds,LEE,3,3.0,3,3,Spurs (A) | Brighton (H) | West Ham (A)
17,Sunderland,SUN,3,3.0,3,3,Man Utd (H) | Everton (A) | Chelsea (H)
19,West Ham,WHU,3,3.0,2,4,Arsenal (H) | Newcastle (A) | Leeds (H)
20,Wolves,WOL,3,3.0,2,4,Brighton (A) | Fulham (H) | Burnley (A)
13,Man City,MCI,5,3.2,3,4,Everton (A) | Brentford (H) | Crystal Palace (H) | Bournemouth (A) | Aston Villa (H)
7,Chelsea,CHE,4,3.25,3,4,Nott'm Forest (H) | Liverpool (A) | Spurs (H) | Sunderland (A)
16,Nott'm Forest,NFO,4,3.25,3,4,Chelsea (A) | Newcastle (H) | Man Utd (A) | Bournemouth (H)
2,Aston Villa,AVL,3,3.333,2,5,Burnley (A) | Liverpool (H) | Man City (A)
4,Bournemouth,BOU,3,3.333,3,4,Fulham (A) | Man City (H) | Nott'm Forest (A)
12,Liverpool,LIV,3,3.333,3,4,Chelsea (H) | Aston Villa (A) | Brentford (H)
14,Man Utd,MUN,3,3.333,3,4,Sunderland (A) | Nott'm Forest (H) | Brighton (A)
8,Crystal Palace,CRY,4,3.75,3,5,Everton (H) | Man City (A) | Brentford (A) | Arsenal (H)
5,Brentford,BRE,3,4.0,3,5,Man City (A) | Crystal Palace (H) | Liverpool (A)
