team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
14,Liverpool,LIV,5,2.6,2,3,Newcastle (A) | Nott'm Forest (H) | Ipswich Town (A) | Fulham (H) | Bournemouth (A)
13,Leeds,LEE,5,2.8,2,3,Nott'm Forest (A) | Brentford (H) | Brighton (A) | Newcastle (H) | Crystal Palace (H)
15,Man City,MCI,5,2.8,2,4,Bournemouth (H) | Crystal Palace (A) | Coventry City (H) | Man Utd (A) | Sunderland (H)
16,Man Utd,MUN,5,2.8,2,4,Hull City (A) | Ipswich Town (H) | Everton (A) | Man City (H) | Fulham (A)
19,Spurs,TOT,5,2.8,2,3,Brentford (A) | Newcastle (H) | Nott'm Forest (A) | Everton (H) | Aston Villa (H)
2,Aston Villa,AVL,5,3.0,2,4,Brighton (A) | Arsenal (H) | Hull City (A) | Nott'm Forest (H) | Spurs (A)
4,Brentford,BRE,5,3.0,2,4,Spurs (H) | Leeds (A) | Sunderland (H) | Bournemouth (A) | Chelsea (H)
5,Brighton,BHA,5,3.0,2,4,Aston Villa (H) | Chelsea (A) | Leeds (H) | Coventry City (A) | Arsenal (H)
6,Chelsea,CHE,5,3.0,2,5,Fulham (A) | Brighton (H) | Arsenal (A) | Hull City (H) | Brentford (A)
8,Crystal Palace,CRY,5,3.0,2,4,Everton (A) | Man City (H) | Fulham (A) | Ipswich Town (H) | Leeds (A)
9,Everton,EVE,5,3.0,2,4,Crystal Palace (H) | Bournemouth (A) | Man Utd (H) | Spurs (A) | Ipswich Town (H)
17,Newcastle,NEW,5,3.0,2,4,Liverpool (H) | Spurs (A) | Bournemouth (H) | Leeds (A) | Hull City (H)
18,Nott'm Forest,NFO,5,3.0,2,4,Leeds (H) | Liverpool (A) | Spurs (H) | Aston Villa (A) | Coventry City (H)
1,Arsenal,ARS,5,3.2,2,4,Coventry City (H) | Aston Villa (A) | Chelsea (H) | Sunderland (A) | Brighton (A)
11,Hull City,HUL,5,3.2,2,4,Man Utd (H) | Coventry City (A) | Aston Villa (H) | Chelsea (A) | Newcastle (A)
12,Ipswich Town,IPS,5,3.2,2,4,Sunderland (H) | Man Utd (A) | Liverpool (H) | Crystal Palace (A) | Everton (A)
20,Sunderland,SUN,5,3.2,2,5,Ipswich Town (A) | Fulham (H) | Brentford (A) | Arsenal (H) | Man City (A)
7,Coventry City,COV,5,3.4,2,5,Arsenal (A) | Hull City (H) | Man City (A) | Brighton (H) | Nott'm Forest (A)
3,Bournemouth,BOU,5,3.6,3,5,Man City (A) | Everton (H) | Newcastle (A) | Brentford (H) | Liverpool (H)
10,Fulham,FUL,5,3.6,3,4,Chelsea (H) | Sunderland (A) | Crystal Palace (H) | Liverpool (A) | Man Utd (H)
