team_id,team_name,team_short_name,fixtures_in_horizon,avg_difficulty_next_5,min_difficulty_next_5,max_difficulty_next_5,opponents_next_5
17,Newcastle,NEW,5,2.6,2,3,Spurs (A) | Bournemouth (H) | Leeds (A) | Hull City (H) | Coventry City (A)
7,Coventry City,COV,5,2.8,2,5,Hull City (H) | Man City (A) | Brighton (H) | Nott'm Forest (A) | Newcastle (H)
9,Everton,EVE,5,2.8,2,4,Bournemouth (A) | Man Utd (H) | Spurs (A) | Ipswich Town (H) | Hull City (A)
14,Liverpool,LIV,5,2.8,2,4,Nott'm Forest (H) | Ipswich Town (A) | Fulham (H) | Bournemouth (A) | Man City (H)
2,Aston Villa,AVL,5,3.0,2,4,Arsenal (H) | Hull City (A) | Nott'm Forest (H) | Spurs (A) | Brentford (H)
5,Brighton,BHA,5,3.0,2,4,Chelsea (A) | Leeds (H) | Coventry City (A) | Arsenal (H) | Sunderland (A)
6,Chelsea,CHE,5,3.0,2,5,Brighton (H) | Arsenal (A) | Hull City (H) | Brentford (A) | Bournemouth (H)
8,Crystal Palace,CRY,5,3.0,2,4,Man City (H) | Fulham (A) | Ipswich Town (H) | Leeds (A) | Nott'm Forest (H)
11,Hull City,HUL,5,3.0,2,4,Coventry City (A) | Aston Villa (H) | Chelsea (A) | Newcastle (A) | Everton (H)
15,Man City,MCI,5,3.0,2,4,Crystal Palace (A) | Coventry City (H) | Man Utd (A) | Sunderland (H) | Liverpool (A)
16,Man Utd,MUN,5,3.0,2,4,Ipswich Town (H) | Everton (A) | Man City (H) | Fulham (A) | Spurs (H)
19,Spurs,TOT,5,3.0,2,4,Newcastle (H) | Nott'm Forest (A) | Everton (H) | Aston Villa (H) | Man Utd (A)
1,Arsenal,ARS,5,3.2,2,4,Aston Villa (A) | Chelsea (H) | Sunderland (A) | Brighton (A) | Leeds (H)
4,Brentford,BRE,5,3.2,2,4,Leeds (A) | Sunderland (H) | Bournemouth (A) | Chelsea (H) | Aston Villa (A)
10,Fulham,FUL,5,3.2,2,4,Sunderland (A) | Crystal Palace (H) | Liverpool (A) | Man Utd (H) | Ipswich Town (A)
12,Ipswich Town,IPS,5,3.2,2,4,Man Utd (A) | Liverpool (H) | Crystal Palace (A) | Everton (A) | Fulham (H)
13,Leeds,LEE,5,3.2,2,5,Brentford (H) | Brighton (A) | Newcastle (H) | Crystal Palace (H) | Arsenal (A)
18,Nott'm Forest,NFO,5,3.2,2,4,Liverpool (A) | Spurs (H) | Aston Villa (A) | Coventry City (H) | Crystal Palace (A)
20,Sunderland,SUN,5,3.2,2,5,Fulham (H) | Brentford (A) | Arsenal (H) | Man City (A) | Brighton (H)
3,Bournemouth,BOU,5,3.4,3,4,Everton (H) | Newcastle (A) | Brentford (H) | Liverpool (H) | Chelsea (A)
