id,web_name,team_name,team_short_name,element_type,now_cost,form,points_per_game,total_points,selected_by_percent,minutes,goals_scored,assists,clean_sheets,bonus,status
367,Gakpo,Liverpool,LIV,3,7.1,9.3,9.3,28,11.6,250,1,3,1,5,a
426,B.Fernandes,Man Utd,MUN,3,12.0,9.0,9.0,27,48.0,270,3,1,0,3,a
572,Tzolakis,Hull City,HUL,1,4.6,8.7,8.7,26,8.5,270,0,0,3,6,a
279,Ajayi,Hull City,HUL,2,4.1,8.3,8.3,25,10.2,243,1,0,3,2,a
399,Cherki,Man City,MCI,3,7.8,8.3,8.3,25,30.6,173,2,2,1,4,a
15,Ødegaard,Arsenal,ARS,3,6.6,8.0,8.0,24,11.6,221,2,0,2,6,a
69,Scott,Bournemouth,BOU,3,6.0,8.0,8.0,24,3.2,266,1,2,1,5,a
586,Mendy,Hull City,HUL,2,4.0,8.0,8.0,24,6.2,191,1,0,2,1,a
411,Haaland,Man City,MCI,4,15.5,8.0,8.0,24,71.2,270,3,0,1,6,a
277,Egan,Hull City,HUL,2,4.0,7.7,7.7,23,5.8,270,0,0,3,1,a
379,Isak,Liverpool,LIV,4,9.0,7.7,7.7,23,18.3,243,3,0,1,5,a
8,Calafiori,Arsenal,ARS,2,5.7,7.3,7.3,22,46.6,236,0,2,2,2,a
12,Saka,Arsenal,ARS,3,9.5,7.3,7.3,22,11.2,246,2,0,2,4,a
330,Bogle,Leeds,LEE,2,4.5,7.3,7.3,22,1.0,217,1,0,2,3,a
391,Gvardiol,Man City,MCI,2,5.6,7.3,7.3,22,19.4,254,1,1,1,3,a
68,Tavernier,Bournemouth,BOU,3,6.0,7.0,7.0,21,2.8,268,2,0,0,6,a
98,Janelt,Brentford,BRE,3,5.0,7.0,7.0,21,1.1,270,2,0,1,3,a
115,De Cuyper,Brighton,BHA,2,4.7,7.0,7.0,21,18.4,243,1,2,1,2,a
154,Palmer,Chelsea,CHE,3,9.6,7.0,7.0,21,20.5,262,2,1,0,3,a
165,João Pedro,Chelsea,CHE,4,7.7,7.0,7.0,21,71.8,270,2,2,0,4,a
229,Tarkowski,Everton,EVE,2,6.0,7.0,7.0,21,11.0,270,1,0,1,2,a
427,Mbeumo,Man Utd,MUN,3,7.9,7.0,7.0,21,26.3,270,2,1,0,3,a
643,Chilwell,Crystal Palace,CRY,2,4.5,7.0,7.0,7,0.2,16,1,0,0,0,a
649,Maitland-Niles,Everton,EVE,2,4.5,7.0,7.0,7,0.0,13,1,0,0,0,a
10,White,Arsenal,ARS,2,5.5,6.7,6.7,20,7.7,270,0,1,2,3,a
282,Giles,Hull City,HUL,2,4.0,6.7,6.7,20,1.2,264,0,0,3,2,a
388,Guéhi,Man City,MCI,2,6.0,6.7,6.7,20,18.7,270,1,0,1,4,a
40,Rogers,Chelsea,CHE,3,7.5,6.3,6.3,19,26.2,257,2,1,0,1,a
268,King,Fulham,FUL,3,5.5,6.3,6.3,19,0.9,270,2,0,0,3,a
335,Stach,Leeds,LEE,3,6.0,6.3,6.3,19,2.9,270,1,0,1,3,a
86,Lewis-Potter,Brentford,BRE,3,5.5,6.0,6.0,18,2.2,267,1,1,1,3,a
565,M.Sangaré,Brentford,BRE,3,5.7,6.0,6.0,18,14.8,210,0,2,1,3,a
504,Vuskovic,Brighton,BHA,2,5.0,6.0,6.0,18,2.5,270,1,0,1,2,a
449,Hall,Newcastle,NEW,2,5.1,6.0,6.0,18,10.7,269,0,1,1,3,a
454,Elanga,Newcastle,NEW,3,6.1,6.0,6.0,18,10.8,232,2,0,1,2,a
480,Gibbs-White,Nott'm Forest,NFO,3,7.9,6.0,6.0,18,9.3,270,1,1,1,3,a
544,Xhaka,Sunderland,SUN,3,5.5,6.0,6.0,18,4.5,270,0,1,1,5,a
453,Barnes,Newcastle,NEW,3,6.0,5.7,5.7,17,1.5,270,1,1,1,2,a
26,Havertz,Arsenal,ARS,4,7.5,5.3,5.3,16,6.9,257,2,0,2,2,a
88,Kayode,Brentford,BRE,2,4.6,5.3,5.3,16,9.4,207,1,0,1,1,a
124,Groß,Brighton,BHA,3,5.5,5.3,5.3,16,16.0,270,1,1,1,3,a
204,Mitchell,Crystal Palace,CRY,2,4.5,5.3,5.3,16,5.1,253,2,0,0,2,a
332,Justin,Leeds,LEE,2,4.5,5.3,5.3,16,1.5,270,0,0,1,2,a
237,Ndiaye,Man City,MCI,3,5.9,5.3,5.3,16,10.9,266,0,1,2,1,a
123,Hinshelwood,Brighton,BHA,3,6.0,5.3,16.0,16,1.2,63,2,0,1,3,d
1,Raya,Arsenal,ARS,1,6.0,5.0,5.0,15,38.6,270,0,0,2,0,a
4,Gabriel,Arsenal,ARS,2,8.0,5.0,5.0,15,25.3,270,0,0,2,0,a
94,Schade,Brentford,BRE,3,6.0,5.0,5.0,15,4.1,267,1,0,1,3,a
173,Thomas,Coventry City,COV,2,4.0,5.0,5.0,15,8.6,257,0,0,1,2,a
236,Dewsbury-Hall,Everton,EVE,3,6.5,5.0,5.0,15,4.4,270,1,0,1,3,a
242,George,Everton,EVE,3,5.5,5.0,5.0,15,0.3,234,1,0,1,3,a
385,Trafford,Leeds,LEE,1,5.0,5.0,5.0,15,5.3,270,0,0,1,2,a
368,Szoboszlai,Liverpool,LIV,3,7.0,5.0,5.0,15,39.8,270,1,0,1,1,a
469,N.Williams,Nott'm Forest,NFO,2,5.0,5.0,5.0,15,8.3,270,0,1,1,1,a
286,Belloumi,Hull City,HUL,3,5.0,4.7,4.7,14,0.9,253,0,1,3,0,a
334,Muharemović,Leeds,LEE,2,5.0,4.7,4.7,14,3.3,270,0,0,1,0,a
428,Cunha,Man Utd,MUN,3,7.9,4.7,4.7,14,7.5,227,0,2,1,1,a
432,Mainoo,Man Utd,MUN,3,5.5,4.7,4.7,14,1.2,185,0,1,0,2,a
533,Mukiele,Sunderland,SUN,2,5.5,4.3,6.5,13,2.4,180,0,0,1,1,a
13,Rice,Arsenal,ARS,3,7.4,4.3,4.3,13,14.0,241,0,1,2,0,a
87,Ajer,Brentford,BRE,2,4.5,4.3,4.3,13,5.1,270,0,0,1,0,a
127,Gomez,Brighton,BHA,3,5.0,4.3,4.3,13,4.9,265,0,2,1,0,a
230,Branthwaite,Everton,EVE,2,5.5,4.3,4.3,13,1.8,270,0,0,1,0,a
258,Castagne,Fulham,FUL,2,4.5,4.3,4.3,13,0.9,247,0,2,1,0,a
377,Munoz,Liverpool,LIV,3,6.5,4.3,4.3,13,1.3,180,1,1,1,0,a
397,Semenyo,Man City,MCI,3,8.4,4.3,4.3,13,18.8,270,0,2,1,0,a
464,Wissa,Newcastle,NEW,4,6.2,4.3,4.3,13,16.3,261,1,1,1,2,a
593,Dedić,Newcastle,NEW,2,4.5,4.3,4.3,13,3.5,270,0,1,1,2,a
472,Murillo,Nott'm Forest,NFO,2,5.5,4.3,4.3,13,1.6,269,0,0,1,0,a
483,Ndoye,Nott'm Forest,NFO,3,5.5,4.3,4.3,13,0.7,184,1,0,1,2,a
542,E.Le Fée,Sunderland,SUN,3,5.9,4.3,4.3,13,5.4,258,1,0,1,1,a
553,Isidor,Sunderland,SUN,4,5.5,4.3,4.3,13,1.3,75,1,1,0,3,a
11,Mosquera,Arsenal,ARS,2,5.5,4.0,6.0,12,4.0,168,0,0,2,0,d
597,Suzuki,Aston Villa,AVL,1,5.0,4.0,6.0,12,1.3,180,0,0,1,3,a
96,Damsgaard,Brentford,BRE,3,5.5,4.0,4.0,12,0.5,167,0,1,1,3,a
249,Barry,Everton,EVE,4,5.6,4.0,4.0,12,5.2,237,1,0,1,2,a
280,Coyle,Hull City,HUL,2,4.0,4.0,4.0,12,0.5,177,0,0,2,0,a
316,Emersonn,Ipswich Town,IPS,4,5.5,4.0,4.0,12,1.7,175,1,0,0,3,a
327,Bijol,Leeds,LEE,2,5.0,4.0,4.0,12,0.9,164,0,0,1,2,a
471,Milenković,Nott'm Forest,NFO,2,5.5,4.0,4.0,12,1.6,270,0,0,1,0,a
532,Ballard,Sunderland,SUN,2,5.0,4.0,4.0,12,3.8,270,0,0,1,0,a
557,Tzolis,Arsenal,ARS,3,6.5,3.7,3.7,11,18.4,210,0,2,1,1,a
79,Evanilson,Bournemouth,BOU,4,6.0,3.7,3.7,11,3.3,244,0,2,2,0,a
82,Kelleher,Brentford,BRE,1,5.0,3.7,3.7,11,6.9,270,0,0,1,0,a
605,Yalcouyé,Brighton,BHA,3,4.5,3.7,3.7,11,2.4,167,1,0,0,1,a
211,Yeremy,Crystal Palace,CRY,3,5.5,3.7,3.7,11,0.3,190,0,2,0,0,a
226,Pickford,Everton,EVE,1,5.5,3.7,3.7,11,8.7,270,0,0,1,0,a
233,Mykolenko,Everton,EVE,2,4.5,3.7,3.7,11,1.8,270,0,0,1,0,a
244,Armstrong,Everton,EVE,3,5.0,3.7,3.7,11,0.4,266,0,1,1,0,a
570,Palacios,Fulham,FUL,3,5.5,3.7,3.7,11,0.2,207,1,0,0,1,a
290,Slater,Hull City,HUL,3,4.5,3.7,3.7,11,5.0,270,0,1,3,0,a
591,Enciso,Ipswich Town,IPS,3,5.5,3.7,3.7,11,0.8,250,0,2,0,0,a
398,Foden,Man City,MCI,3,7.0,3.7,3.7,11,5.3,195,0,2,0,1,a
460,Willock,Newcastle,NEW,3,5.0,3.7,3.7,11,0.4,166,1,0,1,0,a
84,Collins,Brentford,BRE,2,5.5,3.3,3.3,10,2.0,196,0,0,1,0,d
116,Dunk,Brighton,BHA,2,4.5,3.3,3.3,10,1.3,270,0,0,1,1,a
156,Neto,Chelsea,CHE,3,6.5,3.3,3.3,10,1.3,161,1,0,0,0,a
214,Kamada,Crystal Palace,CRY,3,5.0,3.3,3.3,10,0.3,268,0,1,0,0,a
569,Gonzalo,Fulham,FUL,4,6.0,3.3,3.3,10,4.4,270,1,0,0,0,a
346,Calvert-Lewin,Leeds,LEE,4,6.0,3.3,3.3,10,25.1,252,1,0,1,2,a
350,A.Becker,Liverpool,LIV,1,5.5,3.3,3.3,10,3.8,270,0,0,1,1,a
384,Donnarumma,Man City,MCI,1,5.5,3.3,3.3,10,7.9,270,0,0,1,0,a
390,Rúben,Man City,MCI,2,5.5,3.3,3.3,10,1.8,270,0,0,1,0,a
567,Horníček,Newcastle,NEW,1,5.0,3.3,3.3,10,1.2,270,0,0,1,0,a
474,Jair Cunha,Nott'm Forest,NFO,2,4.5,3.3,3.3,10,0.2,270,0,0,1,0,a
112,Van Hecke,Spurs,TOT,2,4.9,3.3,3.3,10,7.1,270,0,0,1,2,a
551,N.Angulo,Sunderland,SUN,3,5.0,3.3,3.3,10,0.1,185,1,0,1,0,a
503,Van de Ven,Spurs,TOT,2,5.0,3.0,4.5,9,3.8,180,0,0,1,3,a
109,Verbruggen,Brighton,BHA,1,4.5,3.0,3.0,9,22.1,270,0,0,1,0,a
161,Lavia,Chelsea,CHE,3,5.0,3.0,3.0,9,0.2,190,1,0,0,0,a
200,Lacroix,Chelsea,CHE,2,6.0,3.0,3.0,9,8.2,270,0,1,0,0,a
305,Davis,Ipswich Town,IPS,2,4.0,3.0,3.0,9,5.1,270,1,0,0,0,a
338,Ampadu,Leeds,LEE,3,5.5,3.0,3.0,9,1.1,270,0,0,1,0,a
356,Virgil,Liverpool,LIV,2,6.5,3.0,3.0,9,17.3,270,0,0,1,0,a
362,Jacquet,Liverpool,LIV,2,5.0,3.0,3.0,9,2.6,235,0,0,1,0,a
