can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,price_change_hourly_rate,price_change_projections,price_change_locked_until,price_change_calibrating,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,team_short_name
True,True,,,154561,1,-1,1,-1,0.3,96,"[{'offset': 0, 'projected_percent': '0.5', 'likelihood': 1}, {'offset': 1, 'projected_percent': '1.0', 'likelihood': 1}, {'offset': 2, 'projected_percent': '1.4', 'likelihood': 1}]",,False,1,1,6.0,6.0,1,David,6.0,1,False,,,6.1,154561.jpg,6.0,False,Raya Martín,42.1,False,,a,1,3,30,927685,87286,616774,24370,1.0,4.9,Raya,,200.0,2024-07-04,1995-09-15,False,p154561,450,0,0,3,4,0,1,0,0,0,9,3,104,104.6,0.2,0.0,10.6,6,58,1,0,5,0.00,0.01,0.01,4.03,,,,,,,[],,70,13,389,5,657,73,202,13,0.0,1.8,0.0,0.0,0.81,0.8,59,1,21,2,32,2,4,1,1.0,0.6,0.0,Arsenal,ARS
True,True,,,109745,0,0,-1,1,-40.9,-2,"[{'offset': 0, 'projected_percent': '-43.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-47.6', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-52.3', 'likelihood': -3}]",,False,0,1,0.0,0.0,0,Kepa,0.0,2,False,,,4.9,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.1,False,,a,1,3,0,1440,63,4149,136,0.0,0.0,Arrizabalaga,,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,557,68,554,56,517,54,562,68,0.0,0.0,0.0,0.0,0.0,0.0,345,16,568,68,569,68,461,52,0.0,0.0,0.0,Arsenal,ARS
True,True,,,437495,0,0,-1,1,-28.7,2,"[{'offset': 0, 'projected_percent': '-24.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-13.7', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-3.5', 'likelihood': -1}]",,False,0,1,0.0,0.0,0,Illan,0.0,3,False,,,4.9,437495.jpg,0.0,False,Meslier,0.0,False,,a,1,3,0,495,28,1521,61,0.0,0.0,Meslier,,73.0,2026-07-09,2000-03-02,False,p437495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],,567,69,565,58,530,56,573,69,0.0,0.0,0.0,0.0,0.0,0.0,371,18,577,69,578,69,544,62,0.0,0.0,0.0,Arsenal,ARS
True,True,,,226597,0,0,0,0,-80.6,-152,"[{'offset': 0, 'projected_percent': '-81.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-82.0', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-82.9', 'likelihood': -3}]",,False,0,2,5.0,5.0,1,Gabriel,5.0,4,False,,,8.0,226597.jpg,5.0,False,dos Santos Magalhães,22.9,False,,a,1,3,25,222984,12741,884200,41309,0.6,3.1,Gabriel,Gabriel Magalhães,30.0,2020-09-01,1997-12-19,False,p226597,450,0,0,3,4,0,0,0,2,0,0,2,90,94.8,22.0,84.0,20.0,35,17,6,41,5,0.51,0.20,0.71,4.03,,,,,,,[],,86,38,216,72,44,3,89,28,0.1,0.0,0.04,0.14,0.81,0.8,8,1,46,17,60,25,14,4,1.0,0.6,8.2,Arsenal,ARS
True,True,100.0,100.0,445122,0,0,0,0,8.8,47,"[{'offset': 0, 'projected_percent': '9.1', 'likelihood': 1}, {'offset': 1, 'projected_percent': '9.8', 'likelihood': 1}, {'offset': 2, 'projected_percent': '10.4', 'likelihood': 1}]",,False,0,2,0.2,0.2,0,Jurriën,0.2,5,False,,2026-07-23T12:01:23.272929Z,6.5,445122.jpg,0.5,False,Timber,0.3,False,,a,1,3,1,28591,6935,12832,2079,0.0,0.2,J.Timber,Jurriën Timber,152.0,2023-07-14,2001-06-17,False,p445122,104,0,0,0,3,0,0,0,0,0,0,0,-3,10.2,4.2,0.0,1.5,2,7,3,5,1,0.00,0.03,0.03,2.18,,,,,,,[],,323,122,314,111,663,217,364,127,0.0,0.0,0.03,0.03,1.89,2.6,39,3,414,143,418,145,277,100,0.87,0.0,4.33,Arsenal,ARS
True,True,0.0,0.0,462424,0,0,-1,1,-20.7,-3,"[{'offset': 0, 'projected_percent': '-21.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-21.7', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-22.5', 'likelihood': -2}]",,False,0,2,0.0,0.0,0,William,0.0,6,False,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,5.9,462424.jpg,0.0,False,Saliba,0.2,False,,i,1,3,0,3296,214,18170,617,0.0,0.0,Saliba,,73.0,2019-07-25,2001-03-24,False,p462424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,,,[],https://www.arsenal.com/news/arteta-issues-update-on-bruno-timber-and-saliba-aKfIr6V2lm7B?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_content=home&utm_term=live-bar,654,217,658,217,652,216,658,217,0.0,0.0,0.0,0.0,0.0,0.0,88,8,657,216,657,216,330,122,0.0,0.0,0.0,Arsenal,ARS
True,True,,,499169,-1,1,-1,1,-9.1,-13,"[{'offset': 0, 'projected_percent': '-9.9', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-11.7', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-13.6', 'likelihood': -1}]",,False,0,3,1.5,1.5,0,Myles,1.5,7,False,,,5.4,499169.jpg,2.2,False,Lewis-Skelly,0.6,False,,a,1,3,9,29169,492,48207,3403,0.3,1.7,Lewis-Skelly,,241.0,2022-12-04,2006-09-26,False,p499169,271,0,0,2,1,0,0,0,0,0,0,0,37,21.6,40.2,16.0,7.0,5,8,1,14,4,0.16,0.23,0.39,1.02,,,,,,,[],,279,119,157,100,213,116,252,112,0.05,0.0,0.08,0.13,0.34,0.33,204,128,238,110,218,96,241,77,1.33,0.66,4.65,Arsenal,ARS
True,True,,,466075,0,0,3,-3,85.9,41,"[{'offset': 0, 'projected_percent': '86.2', 'likelihood': 3}, {'offset': 1, 'projected_percent': '86.8', 'likelihood': 3}, {'offset': 2, 'projected_percent': '87.3', 'likelihood': 3}]",,False,1,2,5.0,5.0,1,Riccardo,5.0,8,False,,,5.8,466075.jpg,5.8,False,Calafiori,50.6,False,,a,1,3,29,1624218,44210,376025,37518,0.9,5.0,Calafiori,,106.0,2024-07-29,2002-05-19,False,p466075,416,0,2,3,4,0,0,0,0,0,0,2,76,71.6,52.7,66.0,19.1,12,13,6,18,5,0.67,0.62,1.29,3.76,,,,,,,[],,129,57,110,29,67,8,97,30,0.14,0.0,0.13,0.27,0.81,0.87,106,11,44,15,35,14,3,1,1.08,0.65,3.89,Arsenal,ARS
True,True,,,448104,-1,1,-3,3,-1.2,-31,"[{'offset': 0, 'projected_percent': '-2.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-5.4', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-8.3', 'likelihood': -1}]",,False,0,2,0.2,0.2,0,Piero,0.2,9,False,,,5.2,448104.jpg,1.0,False,Hincapié,0.9,False,,a,1,3,2,15585,766,115449,3738,0.0,0.4,Hincapie,,62.0,2026-07-01,2002-01-09,False,p448104,32,0,0,0,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,2,0,1,3,0,0.00,0.00,0.00,0.28,,,,,,,[],,353,131,356,130,329,124,376,133,0.0,0.0,0.0,0.0,0.79,0.0,237,34,402,142,361,136,194,72,0.0,0.0,8.44,Arsenal,ARS
True,True,75.0,100.0,198869,0,0,0,0,-29.8,-571,"[{'offset': 0, 'projected_percent': '-33.7', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-42.2', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-50.7', 'likelihood': -3}]",,False,0,2,1.9,2.5,0,Benjamin,2.5,10,False,Groin injury - 75% chance of playing,2026-09-20T19:30:08.247780Z,5.5,198869.jpg,5.2,False,White,5.2,False,,d,1,3,21,455766,3008,539322,40541,0.5,3.8,White,,241.0,2021-07-30,1997-10-08,False,p198869,315,0,1,2,1,0,0,0,0,0,0,3,78,69.6,53.0,29.0,15.2,12,9,6,18,4,0.18,0.29,0.47,1.15,,,,,,,[],,135,61,106,27,156,46,140,48,0.05,0.0,0.08,0.13,0.33,0.29,132,15,155,58,53,22,74,29,1.14,0.57,5.14,Arsenal,ARS
