id,web_name,team_name,team_short_name,element_type,now_cost,cost_change_event,cost_change_start
2,Arrizabalaga,Arsenal,ARS,1,4.9,0,-1
452,Bruno G.,Arsenal,ARS,3,6.7,0,-3
8,Calafiori,Arsenal,ARS,2,5.8,0,3
20,Dowman,Arsenal,ARS,3,5.3,0,-2
14,Eze,Arsenal,ARS,3,6.3,0,-2
23,Fábio Vieira,Arsenal,ARS,3,5.5,0,0
27,G.Jesus,Arsenal,ARS,4,5.9,0,-1
4,Gabriel,Arsenal,ARS,2,8.0,0,0
25,Gyökeres,Arsenal,ARS,4,7.1,-1,-4
26,Havertz,Arsenal,ARS,4,7.6,0,1
9,Hincapie,Arsenal,ARS,2,5.2,-1,-3
5,J.Timber,Arsenal,ARS,2,6.5,0,0
31,Konsa,Arsenal,ARS,2,4.6,1,1
7,Lewis-Skelly,Arsenal,ARS,3,5.4,-1,-1
16,Madueke,Arsenal,ARS,3,6.2,0,-3
18,Martinelli,Arsenal,ARS,3,6.3,0,-2
17,Merino,Arsenal,ARS,3,5.8,0,-2
3,Meslier,Arsenal,ARS,1,4.9,0,-1
11,Mosquera,Arsenal,ARS,2,5.3,0,-2
24,Nelson,Arsenal,ARS,3,5.5,0,0
22,Nwaneri,Arsenal,ARS,3,5.4,0,-1
1,Raya,Arsenal,ARS,1,6.1,1,1
13,Rice,Arsenal,ARS,3,7.4,0,-1
12,Saka,Arsenal,ARS,3,9.5,0,0
6,Saliba,Arsenal,ARS,2,5.9,0,-1
557,Tzolis,Arsenal,ARS,3,6.3,-1,-2
10,White,Arsenal,ARS,2,5.5,0,0
19,Zubimendi,Arsenal,ARS,3,5.3,0,-2
15,Ødegaard,Arsenal,ARS,3,6.8,0,3
38,A.García,Aston Villa,AVL,2,4.0,0,0
56,Abraham,Aston Villa,AVL,4,5.5,0,0
52,Alysson,Aston Villa,AVL,3,5.0,0,0
44,Bailey,Aston Villa,AVL,3,5.4,0,-1
46,Barkley,Aston Villa,AVL,3,5.0,0,0
35,Bogarde,Aston Villa,AVL,3,4.9,-1,-1
41,Buendía,Aston Villa,AVL,3,5.9,0,-1
50,Burrowes,Aston Villa,AVL,3,4.5,0,0
32,Cash,Aston Villa,AVL,2,4.4,0,-1
30,Digne,Aston Villa,AVL,2,4.5,0,0
160,Garnacho,Aston Villa,AVL,3,5.8,0,-2
51,George Hemmings,Aston Villa,AVL,3,4.5,0,0
54,Gomes,Aston Villa,AVL,3,5.5,0,0
618,Goretzka,Aston Villa,AVL,3,5.9,0,-1
630,Harwood-Bellis,Aston Villa,AVL,2,4.5,0,0
49,Iling Jr,Aston Villa,AVL,3,5.0,0,0
47,Kamara,Aston Villa,AVL,3,5.0,0,0
37,Lindelöf,Aston Villa,AVL,2,4.5,0,0
607,Lynch,Aston Villa,AVL,3,4.5,0,0
29,M.Bizot,Aston Villa,AVL,1,4.5,0,0
36,Maatsen,Aston Villa,AVL,2,4.5,0,0
582,Madjo,Aston Villa,AVL,4,5.4,0,-1
53,Manzambi,Aston Villa,AVL,3,5.9,0,-1
631,Mbaye,Aston Villa,AVL,3,6.0,0,0
45,McGinn,Aston Villa,AVL,3,5.4,0,-1
33,Mings,Aston Villa,AVL,2,4.5,0,0
166,N.Jackson,Aston Villa,AVL,4,6.5,0,0
39,Nedeljkovic,Aston Villa,AVL,2,4.0,0,0
48,Onana,Aston Villa,AVL,3,4.9,0,-1
34,Pau,Aston Villa,AVL,2,4.5,0,0
606,Rowe,Aston Villa,AVL,2,4.0,0,0
596,Ruggeri,Aston Villa,AVL,2,4.5,0,0
597,Suzuki,Aston Villa,AVL,1,5.0,0,0
611,Wan-Bissaka,Aston Villa,AVL,2,4.5,0,0
55,Watkins,Aston Villa,AVL,4,7.8,0,-2
667,Wright,Aston Villa,AVL,1,4.0,0,0
73,Adams,Bournemouth,BOU,3,5.0,0,0
77,Adli,Bournemouth,BOU,3,4.9,0,-1
74,Brooks,Bournemouth,BOU,3,5.0,0,0
75,Christie,Bournemouth,BOU,3,5.0,0,0
71,Cook,Bournemouth,BOU,3,5.0,0,0
59,Dennis,Bournemouth,BOU,1,4.0,0,0
615,Di Gregorio,Bournemouth,BOU,1,4.5,0,0
62,Diakité,Bournemouth,BOU,2,4.9,-1,-1
80,Enes Ünal,Bournemouth,BOU,4,5.5,0,0
79,Evanilson,Bournemouth,BOU,4,6.0,0,0
58,Forster,Bournemouth,BOU,1,4.0,0,0
72,Gannon-Doak,Bournemouth,BOU,3,4.9,0,-1
60,Hill,Bournemouth,BOU,2,5.5,0,0
65,J.Araujo,Bournemouth,BOU,2,4.4,0,-1
608,Jebbison,Bournemouth,BOU,4,5.0,0,0
70,Kluivert,Bournemouth,BOU,3,6.0,0,0
78,Kroupi.Jr,Bournemouth,BOU,3,7.4,0,-1
63,Milosavljević,Bournemouth,BOU,2,4.9,0,-1
57,Petrović,Bournemouth,BOU,1,4.5,0,0
67,Rayan,Bournemouth,BOU,3,6.3,-1,-2
81,Rodríguez,Bournemouth,BOU,4,6.0,0,0
573,Sanchez,Bournemouth,BOU,2,4.4,0,-1
69,Scott,Bournemouth,BOU,3,6.1,0,1
566,Silva,Bournemouth,BOU,2,5.0,0,0
64,Smith,Bournemouth,BOU,2,4.5,0,0
66,Soler,Bournemouth,BOU,2,4.0,0,0
68,Tavernier,Bournemouth,BOU,3,6.1,0,1
61,Truffert,Bournemouth,BOU,2,5.4,-1,-1
76,Tóth.A,Bournemouth,BOU,3,4.9,0,-1
87,Ajer,Brentford,BRE,2,4.5,0,0
105,Anthony,Brentford,BRE,3,5.9,0,-1
661,Balcombe,Brentford,BRE,1,4.0,0,0
100,Carvalho,Brentford,BRE,3,5.0,0,0
84,Collins,Brentford,BRE,2,5.4,0,-1
96,Damsgaard,Brentford,BRE,3,5.4,0,-1
103,Dasilva,Brentford,BRE,3,4.9,0,-1
620,Diouf,Brentford,BRE,2,4.5,0,0
660,Fredrick,Brentford,BRE,2,4.0,0,0
107,Furo,Brentford,BRE,4,4.5,0,0
89,Henry,Brentford,BRE,2,4.4,0,-1
90,Hickey,Brentford,BRE,2,4.5,0,0
98,Janelt,Brentford,BRE,3,5.0,0,0
97,Jensen,Brentford,BRE,3,5.4,0,-1
92,Ji-soo,Brentford,BRE,2,4.4,-1,-1
88,Kayode,Brentford,BRE,2,4.6,0,1
82,Kelleher,Brentford,BRE,1,5.0,0,0
86,Lewis-Potter,Brentford,BRE,3,5.5,0,0
565,M.Sangaré,Brentford,BRE,3,5.6,-1,1
99,Milambo,Brentford,BRE,3,5.0,0,0
657,Nunes,Brentford,BRE,3,4.5,0,0
95,O.Dango,Brentford,BRE,3,6.3,0,-2
94,Schade,Brentford,BRE,3,6.2,1,2
93,Schuster,Brentford,BRE,2,4.5,0,0
106,Thiago,Brentford,BRE,4,7.8,0,-2
83,Valdimarsson,Brentford,BRE,1,4.5,0,0
85,Van den Berg,Brentford,BRE,2,4.9,0,-1
108,Wilson,Brentford,BRE,4,5.4,-1,-1
102,Yarmoliuk,Brentford,BRE,3,4.8,0,-2
639,Andrés,Brighton,BHA,3,5.5,0,0
129,Ayari,Brighton,BHA,3,5.4,0,-1
652,Azeez,Brighton,BHA,3,5.5,0,0
114,Boscagli,Brighton,BHA,2,4.5,0,0
128,Buonanotte,Brighton,BHA,3,5.0,0,0
117,Coppola,Brighton,BHA,2,4.5,0,0
119,Costinha,Brighton,BHA,2,4.5,0,0
624,Cozier-Duberry,Brighton,BHA,3,5.0,0,0
594,David,Brighton,BHA,4,5.9,-1,-1
115,De Cuyper,Brighton,BHA,2,4.9,0,4
116,Dunk,Brighton,BHA,2,4.5,0,0
113,F.Kadıoğlu,Brighton,BHA,2,4.4,0,-1
139,Ferguson,Brighton,BHA,4,5.0,0,0
125,Georginio,Brighton,BHA,4,5.3,-1,-2
127,Gomez,Brighton,BHA,3,5.0,0,0
124,Groß,Brighton,BHA,3,5.8,1,3
614,Hadjam,Brighton,BHA,2,4.5,0,0
123,Hinshelwood,Brighton,BHA,3,5.9,0,-1
132,Howell,Brighton,BHA,3,4.5,0,0
658,Ibrahim,Brighton,BHA,3,4.5,0,0
118,Igor,Brighton,BHA,2,4.5,0,0
138,Kostoulas,Brighton,BHA,4,5.6,1,1
122,Minteh,Brighton,BHA,3,5.8,-1,-2
121,Mitoma,Brighton,BHA,3,5.9,0,-1
126,O'Riley,Brighton,BHA,3,5.4,0,-1
134,Oriola,Brighton,BHA,3,4.5,0,0
600,Osman,Brighton,BHA,3,5.0,0,0
111,Steele,Brighton,BHA,1,4.0,0,0
328,Struijk,Brighton,BHA,2,4.9,0,-1
120,Svoboda,Brighton,BHA,2,5.0,0,0
137,Tzimas,Brighton,BHA,4,5.4,0,-1
109,Verbruggen,Brighton,BHA,1,4.5,0,0
504,Vuskovic,Brighton,BHA,2,5.0,0,0
133,Watson,Brighton,BHA,3,5.0,0,0
130,Wieffer,Brighton,BHA,2,4.9,0,-1
605,Yalcouyé,Brighton,BHA,3,4.5,0,0
135,Yohanna,Brighton,BHA,3,4.9,0,-1
151,Acheampong,Chelsea,CHE,2,4.5,0,0
561,Anselmino,Chelsea,CHE,2,4.5,0,0
146,B.Badiashile,Chelsea,CHE,2,4.5,0,0
568,Barco,Chelsea,CHE,3,5.4,0,-1
159,Caicedo,Chelsea,CHE,3,5.3,0,-2
143,Chalobah,Chelsea,CHE,2,5.5,0,0
583,Chavarria,Chelsea,CHE,2,4.9,0,-1
149,Colwill,Chelsea,CHE,2,4.8,-1,-2
163,D.Essugo,Chelsea,CHE,3,4.5,0,0
170,Emegha,Chelsea,CHE,4,5.0,0,0
157,Estêvão,Chelsea,CHE,3,6.3,0,-2
145,Fofana,Chelsea,CHE,2,5.0,0,0
158,Gittens,Chelsea,CHE,3,5.8,-1,-2
144,Gusto,Chelsea,CHE,2,4.9,-1,-1
148,Hato,Chelsea,CHE,2,4.5,0,0
101,Henderson,Chelsea,CHE,3,4.9,0,-1
142,James,Chelsea,CHE,2,5.4,0,-1
165,João Pedro,Chelsea,CHE,4,7.7,-1,2
141,Jörgensen,Chelsea,CHE,1,5.0,0,0
200,Lacroix,Chelsea,CHE,2,5.9,-1,-1
161,Lavia,Chelsea,CHE,3,5.0,0,0
150,M.Sarr,Chelsea,CHE,2,4.5,0,0
168,Marc Guiu,Chelsea,CHE,4,5.0,0,0
28,Martinez,Chelsea,CHE,1,5.0,0,0
169,Mheuka,Chelsea,CHE,4,4.5,0,0
156,Neto,Chelsea,CHE,3,6.5,0,0
662,Nicoll-Jazuli,Chelsea,CHE,3,4.5,0,0
152,Palestra,Chelsea,CHE,2,5.3,0,-2
154,Palmer,Chelsea,CHE,3,9.7,0,2
560,Penders,Chelsea,CHE,1,4.4,0,-1
164,Quenda,Chelsea,CHE,3,5.3,0,-2
40,Rogers,Chelsea,CHE,3,7.7,0,2
140,Sánchez,Chelsea,CHE,1,4.9,0,-1
136,Welbeck,Chelsea,CHE,4,5.9,0,-1
182,Amenda,Coventry City,COV,2,4.0,0,0
192,Andrews,Coventry City,COV,3,4.5,0,0
492,Awoniyi,Coventry City,COV,4,5.4,-1,-1
197,Bassette,Coventry City,COV,4,4.5,0,0
623,Bentley,Coventry City,COV,1,4.0,0,0
178,Bidwell,Coventry City,COV,2,4.0,0,0
191,Borges Rodrigues,Coventry City,COV,3,4.5,0,0
181,Brau,Coventry City,COV,2,4.0,0,0
